[149/500] train loss=0.016363, nmse(dB)=-13.6193 | val loss=0.019047, nmse(dB)=-13.2414 | 0.7s
[150/500] train loss=0.016298, nmse(dB)=-13.6339 | val loss=0.019025, nmse(dB)=-13.2578 | 0.7s
[151/500] train loss=0.016272, nmse(dB)=-13.6253 | val loss=0.019027, nmse(dB)=-13.2402 | 0.7s
[152/500] train loss=0.016347, nmse(dB)=-13.6268 | val loss=0.019119, nmse(dB)=-13.2107 | 0.7s
[153/500] train loss=0.016273, nmse(dB)=-13.6257 | val loss=0.019171, nmse(dB)=-13.1997 | 0.7s
[154/500] train loss=0.016355, nmse(dB)=-13.6168 | val loss=0.019307, nmse(dB)=-13.1215 | 0.7s
[155/500] train loss=0.016272, nmse(dB)=-13.6254 | val loss=0.018986, nmse(dB)=-13.2547 | 0.7s
[156/500] train loss=0.016331, nmse(dB)=-13.6397 | val loss=0.019187, nmse(dB)=-13.1817 | 0.7s
[157/500] train loss=0.016366, nmse(dB)=-13.5841 | val loss=0.018909, nmse(dB)=-13.2734 | 0.7s
[158/500] train loss=0.016229, nmse(dB)=-13.6527 | val loss=0.019135, nmse(dB)=-13.2077 | 0.7s
[159/500] train loss=0.016276, nmse(dB)=-13.6185 | val loss=0.019206, nmse(dB)=-13.1583 | 0.7s
[160/500] train loss=0.016252, nmse(dB)=-13.6168 | val loss=0.019011, nmse(dB)=-13.2423 | 0.7s
[161/500] train loss=0.016303, nmse(dB)=-13.6222 | val loss=0.019028, nmse(dB)=-13.2443 | 0.7s
[162/500] train loss=0.016208, nmse(dB)=-13.6475 | val loss=0.019110, nmse(dB)=-13.2206 | 0.7s
[163/500] train loss=0.016226, nmse(dB)=-13.6401 | val loss=0.018997, nmse(dB)=-13.2517 | 0.7s
[164/500] train loss=0.016317, nmse(dB)=-13.6200 | val loss=0.019356, nmse(dB)=-13.1062 | 0.7s
[165/500] train loss=0.016161, nmse(dB)=-13.6416 | val loss=0.019007, nmse(dB)=-13.2400 | 0.7s
[166/500] train loss=0.016134, nmse(dB)=-13.6733 | val loss=0.019070, nmse(dB)=-13.2307 | 0.7s
[167/500] train loss=0.016137, nmse(dB)=-13.6816 | val loss=0.019183, nmse(dB)=-13.1704 | 0.7s
[168/500] train loss=0.016202, nmse(dB)=-13.6482 | val loss=0.018977, nmse(dB)=-13.2627 | 0.7s
[169/500] train loss=0.016115, nmse(dB)=-13.6775 | val loss=0.019022, nmse(dB)=-13.2382 | 0.7s
[170/500] train loss=0.016051, nmse(dB)=-13.6922 | val loss=0.019247, nmse(dB)=-13.1552 | 0.7s
[171/500] train loss=0.016074, nmse(dB)=-13.6871 | val loss=0.018979, nmse(dB)=-13.2634 | 0.7s
[172/500] train loss=0.016203, nmse(dB)=-13.6615 | val loss=0.019142, nmse(dB)=-13.1912 | 0.7s
[173/500] train loss=0.016189, nmse(dB)=-13.6040 | val loss=0.019072, nmse(dB)=-13.2135 | 0.7s
[174/500] train loss=0.016072, nmse(dB)=-13.6731 | val loss=0.019177, nmse(dB)=-13.1865 | 0.7s
[175/500] train loss=0.016055, nmse(dB)=-13.6843 | val loss=0.019061, nmse(dB)=-13.2394 | 0.7s
[176/500] train loss=0.016016, nmse(dB)=-13.6756 | val loss=0.019024, nmse(dB)=-13.2441 | 0.7s
[177/500] train loss=0.016032, nmse(dB)=-13.6835 | val loss=0.018998, nmse(dB)=-13.2519 | 0.7s
[178/500] train loss=0.016020, nmse(dB)=-13.6718 | val loss=0.019133, nmse(dB)=-13.2051 | 0.7s
[179/500] train loss=0.015985, nmse(dB)=-13.6924 | val loss=0.019057, nmse(dB)=-13.2098 | 0.7s
[180/500] train loss=0.016070, nmse(dB)=-13.6546 | val loss=0.018974, nmse(dB)=-13.2463 | 0.7s
[181/500] train loss=0.015912, nmse(dB)=-13.7089 | val loss=0.019144, nmse(dB)=-13.1995 | 0.7s
[182/500] train loss=0.016010, nmse(dB)=-13.6699 | val loss=0.018992, nmse(dB)=-13.2458 | 0.7s
[183/500] train loss=0.015939, nmse(dB)=-13.6985 | val loss=0.019050, nmse(dB)=-13.2175 | 0.7s
[184/500] train loss=0.015934, nmse(dB)=-13.7099 | val loss=0.019048, nmse(dB)=-13.2391 | 0.7s
[185/500] train loss=0.015900, nmse(dB)=-13.7145 | val loss=0.019235, nmse(dB)=-13.1523 | 0.7s
[186/500] train loss=0.015957, nmse(dB)=-13.6905 | val loss=0.019156, nmse(dB)=-13.1679 | 0.7s
[187/500] train loss=0.015899, nmse(dB)=-13.7061 | val loss=0.019026, nmse(dB)=-13.2218 | 0.7s
[188/500] train loss=0.015921, nmse(dB)=-13.6917 | val loss=0.019248, nmse(dB)=-13.1480 | 0.7s
[189/500] train loss=0.015881, nmse(dB)=-13.7174 | val loss=0.019000, nmse(dB)=-13.2411 | 0.7s
[190/500] train loss=0.015778, nmse(dB)=-13.7399 | val loss=0.018971, nmse(dB)=-13.2575 | 0.7s
[191/500] train loss=0.015750, nmse(dB)=-13.7479 | val loss=0.019263, nmse(dB)=-13.1510 | 0.7s
[192/500] train loss=0.015800, nmse(dB)=-13.7239 | val loss=0.018992, nmse(dB)=-13.2296 | 0.7s
[193/500] train loss=0.015739, nmse(dB)=-13.7442 | val loss=0.019051, nmse(dB)=-13.2228 | 0.7s
[194/500] train loss=0.015782, nmse(dB)=-13.7376 | val loss=0.018976, nmse(dB)=-13.2395 | 0.7s
[195/500] train loss=0.015729, nmse(dB)=-13.7400 | val loss=0.019003, nmse(dB)=-13.2385 | 0.7s
[196/500] train loss=0.015777, nmse(dB)=-13.7321 | val loss=0.019149, nmse(dB)=-13.1725 | 0.7s
[197/500] train loss=0.015850, nmse(dB)=-13.7293 | val loss=0.018981, nmse(dB)=-13.2458 | 0.7s
