[179/500] train loss=0.014904, nmse(dB)=-13.9031 | val loss=0.019352, nmse(dB)=-13.1928 | 0.7s
[180/500] train loss=0.014923, nmse(dB)=-13.9135 | val loss=0.019431, nmse(dB)=-13.1709 | 0.7s
[181/500] train loss=0.014827, nmse(dB)=-13.9110 | val loss=0.019263, nmse(dB)=-13.2199 | 0.7s
[182/500] train loss=0.014840, nmse(dB)=-13.9138 | val loss=0.019250, nmse(dB)=-13.2409 | 0.7s
[183/500] train loss=0.014765, nmse(dB)=-13.9549 | val loss=0.019323, nmse(dB)=-13.2214 | 0.7s
[184/500] train loss=0.014678, nmse(dB)=-13.9803 | val loss=0.019290, nmse(dB)=-13.2286 | 0.7s
[185/500] train loss=0.014789, nmse(dB)=-13.9237 | val loss=0.019210, nmse(dB)=-13.2502 | 0.7s
[186/500] train loss=0.014769, nmse(dB)=-13.9163 | val loss=0.019154, nmse(dB)=-13.2444 | 0.7s
[187/500] train loss=0.014640, nmse(dB)=-13.9648 | val loss=0.019439, nmse(dB)=-13.1842 | 0.7s
[188/500] train loss=0.014669, nmse(dB)=-13.9583 | val loss=0.019322, nmse(dB)=-13.2319 | 0.7s
[189/500] train loss=0.014633, nmse(dB)=-13.9594 | val loss=0.019323, nmse(dB)=-13.2031 | 0.7s
[190/500] train loss=0.014667, nmse(dB)=-13.9556 | val loss=0.019488, nmse(dB)=-13.1557 | 0.7s
[191/500] train loss=0.014624, nmse(dB)=-13.9391 | val loss=0.019292, nmse(dB)=-13.2275 | 0.7s
[192/500] train loss=0.014552, nmse(dB)=-13.9821 | val loss=0.019407, nmse(dB)=-13.2306 | 0.7s
[193/500] train loss=0.014486, nmse(dB)=-14.0133 | val loss=0.019380, nmse(dB)=-13.2172 | 0.7s
[194/500] train loss=0.014542, nmse(dB)=-13.9846 | val loss=0.019396, nmse(dB)=-13.2181 | 0.7s
[195/500] train loss=0.014549, nmse(dB)=-13.9670 | val loss=0.019668, nmse(dB)=-13.1526 | 0.7s
[196/500] train loss=0.014456, nmse(dB)=-14.0008 | val loss=0.019477, nmse(dB)=-13.2171 | 0.7s
[197/500] train loss=0.014441, nmse(dB)=-14.0104 | val loss=0.019430, nmse(dB)=-13.1992 | 0.7s
[198/500] train loss=0.014430, nmse(dB)=-14.0167 | val loss=0.019407, nmse(dB)=-13.2345 | 0.7s
[199/500] train loss=0.014437, nmse(dB)=-14.0194 | val loss=0.019459, nmse(dB)=-13.2322 | 0.7s
[200/500] train loss=0.014415, nmse(dB)=-14.0225 | val loss=0.019614, nmse(dB)=-13.1794 | 0.7s
[201/500] train loss=0.014392, nmse(dB)=-14.0323 | val loss=0.019416, nmse(dB)=-13.2306 | 0.7s
[202/500] train loss=0.014346, nmse(dB)=-14.0297 | val loss=0.019439, nmse(dB)=-13.2114 | 0.7s
[203/500] train loss=0.014299, nmse(dB)=-14.0463 | val loss=0.019588, nmse(dB)=-13.1799 | 0.7s
[204/500] train loss=0.014375, nmse(dB)=-14.0225 | val loss=0.019586, nmse(dB)=-13.1920 | 0.7s
[205/500] train loss=0.014254, nmse(dB)=-14.0449 | val loss=0.019719, nmse(dB)=-13.1518 | 0.7s
[206/500] train loss=0.014328, nmse(dB)=-14.0344 | val loss=0.019540, nmse(dB)=-13.2027 | 0.7s
[207/500] train loss=0.014300, nmse(dB)=-14.0398 | val loss=0.019516, nmse(dB)=-13.2137 | 0.7s
[208/500] train loss=0.014242, nmse(dB)=-14.0366 | val loss=0.019529, nmse(dB)=-13.1881 | 0.7s
[209/500] train loss=0.014197, nmse(dB)=-14.0581 | val loss=0.019639, nmse(dB)=-13.1789 | 0.7s
[210/500] train loss=0.014170, nmse(dB)=-14.1000 | val loss=0.019537, nmse(dB)=-13.2193 | 0.7s
[211/500] train loss=0.014155, nmse(dB)=-14.0773 | val loss=0.019575, nmse(dB)=-13.2156 | 0.7s
[212/500] train loss=0.014108, nmse(dB)=-14.0919 | val loss=0.019588, nmse(dB)=-13.1938 | 0.7s
[213/500] train loss=0.014049, nmse(dB)=-14.1129 | val loss=0.019540, nmse(dB)=-13.2147 | 0.7s
[214/500] train loss=0.014152, nmse(dB)=-14.0712 | val loss=0.019576, nmse(dB)=-13.2111 | 0.7s
[215/500] train loss=0.014069, nmse(dB)=-14.0933 | val loss=0.019616, nmse(dB)=-13.2172 | 0.7s
[216/500] train loss=0.014126, nmse(dB)=-14.0767 | val loss=0.019659, nmse(dB)=-13.1994 | 0.7s
[217/500] train loss=0.014098, nmse(dB)=-14.0806 | val loss=0.019783, nmse(dB)=-13.1817 | 0.7s
[218/500] train loss=0.014053, nmse(dB)=-14.0847 | val loss=0.019898, nmse(dB)=-13.1445 | 0.7s
[219/500] train loss=0.014075, nmse(dB)=-14.0617 | val loss=0.019667, nmse(dB)=-13.2040 | 0.7s
[220/500] train loss=0.013957, nmse(dB)=-14.1053 | val loss=0.019991, nmse(dB)=-13.0990 | 0.7s
[221/500] train loss=0.014101, nmse(dB)=-14.0665 | val loss=0.019781, nmse(dB)=-13.1627 | 0.7s
[222/500] train loss=0.014091, nmse(dB)=-14.0662 | val loss=0.020004, nmse(dB)=-13.1215 | 0.7s
[223/500] train loss=0.013898, nmse(dB)=-14.1198 | val loss=0.019862, nmse(dB)=-13.1075 | 0.7s
[224/500] train loss=0.013944, nmse(dB)=-14.1100 | val loss=0.019763, nmse(dB)=-13.1807 | 0.7s
[225/500] train loss=0.013871, nmse(dB)=-14.1407 | val loss=0.020100, nmse(dB)=-13.0378 | 0.7s
[226/500] train loss=0.013947, nmse(dB)=-14.0906 | val loss=0.019668, nmse(dB)=-13.1927 | 0.7s
[227/500] train loss=0.013831, nmse(dB)=-14.1601 | val loss=0.019857, nmse(dB)=-13.1830 | 0.7s
[228/500] train loss=0.013820, nmse(dB)=-14.1346 | val loss=0.019834, nmse(dB)=-13.1804 | 0.7s
[229/500] train loss=0.013758, nmse(dB)=-14.1457 | val loss=0.019830, nmse(dB)=-13.1718 | 0.7s
