=== LSTM | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[167/200] train loss=0.006880 nmse=-15.9528dB | val loss=0.023142 nmse=-10.7536dB | 0.8s
[168/200] train loss=0.006866 nmse=-15.9614dB | val loss=0.023243 nmse=-10.7331dB | 0.9s
[169/200] train loss=0.006862 nmse=-15.9629dB | val loss=0.023199 nmse=-10.7439dB | 0.8s
[170/200] train loss=0.006849 nmse=-15.9725dB | val loss=0.023221 nmse=-10.7392dB | 1.0s
[171/200] train loss=0.006843 nmse=-15.9757dB | val loss=0.023269 nmse=-10.7292dB | 0.9s
[172/200] train loss=0.006846 nmse=-15.9748dB | val loss=0.023221 nmse=-10.7380dB | 0.8s
[173/200] train loss=0.006833 nmse=-15.9825dB | val loss=0.023388 nmse=-10.7063dB | 1.0s
[174/200] train loss=0.006827 nmse=-15.9856dB | val loss=0.023329 nmse=-10.7178dB | 0.8s
[175/200] train loss=0.006816 nmse=-15.9929dB | val loss=0.023282 nmse=-10.7268dB | 0.9s
[176/200] train loss=0.006815 nmse=-15.9938dB | val loss=0.023264 nmse=-10.7319dB | 0.8s
[177/200] train loss=0.006805 nmse=-16.0003dB | val loss=0.023296 nmse=-10.7249dB | 0.8s
[178/200] train loss=0.006796 nmse=-16.0045dB | val loss=0.023296 nmse=-10.7254dB | 0.8s
[179/200] train loss=0.006794 nmse=-16.0061dB | val loss=0.023237 nmse=-10.7364dB | 1.0s
[180/200] train loss=0.006787 nmse=-16.0102dB | val loss=0.023320 nmse=-10.7211dB | 0.8s
[181/200] train loss=0.006792 nmse=-16.0076dB | val loss=0.023344 nmse=-10.7160dB | 0.9s
[182/200] train loss=0.006775 nmse=-16.0186dB | val loss=0.023318 nmse=-10.7210dB | 0.8s
[183/200] train loss=0.006782 nmse=-16.0152dB | val loss=0.023383 nmse=-10.7094dB | 0.8s
[184/200] train loss=0.006781 nmse=-16.0148dB | val loss=0.023357 nmse=-10.7128dB | 1.1s
[185/200] train loss=0.006775 nmse=-16.0198dB | val loss=0.023339 nmse=-10.7174dB | 0.9s
[186/200] train loss=0.006777 nmse=-16.0188dB | val loss=0.023308 nmse=-10.7226dB | 0.8s
[187/200] train loss=0.006767 nmse=-16.0256dB | val loss=0.023370 nmse=-10.7114dB | 0.8s
[188/200] train loss=0.006771 nmse=-16.0220dB | val loss=0.023321 nmse=-10.7201dB | 0.9s
[189/200] train loss=0.006761 nmse=-16.0285dB | val loss=0.023369 nmse=-10.7114dB | 1.0s
[190/200] train loss=0.006772 nmse=-16.0211dB | val loss=0.023347 nmse=-10.7155dB | 0.9s
[191/200] train loss=0.006766 nmse=-16.0247dB | val loss=0.023398 nmse=-10.7059dB | 0.8s
[192/200] train loss=0.006772 nmse=-16.0222dB | val loss=0.023336 nmse=-10.7180dB | 0.8s
[193/200] train loss=0.006766 nmse=-16.0260dB | val loss=0.023338 nmse=-10.7175dB | 1.0s
[194/200] train loss=0.006768 nmse=-16.0241dB | val loss=0.023355 nmse=-10.7141dB | 1.0s
[195/200] train loss=0.006761 nmse=-16.0280dB | val loss=0.023344 nmse=-10.7162dB | 0.8s
[196/200] train loss=0.006761 nmse=-16.0297dB | val loss=0.023346 nmse=-10.7159dB | 0.8s
[197/200] train loss=0.006759 nmse=-16.0300dB | val loss=0.023345 nmse=-10.7160dB | 0.9s
[198/200] train loss=0.006755 nmse=-16.0311dB | val loss=0.023349 nmse=-10.7151dB | 1.0s
[199/200] train loss=0.006760 nmse=-16.0296dB | val loss=0.023349 nmse=-10.7153dB | 0.9s
[200/200] train loss=0.006764 nmse=-16.0264dB | val loss=0.023348 nmse=-10.7154dB | 0.9s

=== Done === 0h 2m 53s | Best epoch 8: val loss=0.017233 nmse=-12.0067dB
