[143/500] train loss=0.015988, nmse(dB)=-13.9327 | val loss=0.016209, nmse(dB)=-13.7966 | 13.6s
[144/500] train loss=0.016010, nmse(dB)=-13.9260 | val loss=0.016224, nmse(dB)=-13.7933 | 14.2s
[145/500] train loss=0.015984, nmse(dB)=-13.9376 | val loss=0.016243, nmse(dB)=-13.7934 | 14.0s
[146/500] train loss=0.015998, nmse(dB)=-13.9309 | val loss=0.016271, nmse(dB)=-13.7983 | 13.8s
[147/500] train loss=0.015985, nmse(dB)=-13.9316 | val loss=0.016231, nmse(dB)=-13.8118 | 13.3s
[148/500] train loss=0.015972, nmse(dB)=-13.9377 | val loss=0.016256, nmse(dB)=-13.7975 | 13.2s
[149/500] train loss=0.015969, nmse(dB)=-13.9386 | val loss=0.016261, nmse(dB)=-13.7923 | 13.7s
[150/500] train loss=0.015954, nmse(dB)=-13.9435 | val loss=0.016244, nmse(dB)=-13.7987 | 13.2s
[151/500] train loss=0.015999, nmse(dB)=-13.9274 | val loss=0.016197, nmse(dB)=-13.7900 | 13.3s
[152/500] train loss=0.016037, nmse(dB)=-13.9251 | val loss=0.016201, nmse(dB)=-13.7919 | 13.2s
[153/500] train loss=0.016012, nmse(dB)=-13.9289 | val loss=0.016195, nmse(dB)=-13.7952 | 13.1s
[154/500] train loss=0.015975, nmse(dB)=-13.9473 | val loss=0.016182, nmse(dB)=-13.7981 | 13.1s
[155/500] train loss=0.016059, nmse(dB)=-13.9201 | val loss=0.016204, nmse(dB)=-13.7833 | 13.1s
[156/500] train loss=0.016008, nmse(dB)=-13.9329 | val loss=0.016185, nmse(dB)=-13.8024 | 13.1s
[157/500] train loss=0.016048, nmse(dB)=-13.9241 | val loss=0.016207, nmse(dB)=-13.7939 | 13.2s
[158/500] train loss=0.016005, nmse(dB)=-13.9300 | val loss=0.016223, nmse(dB)=-13.8020 | 13.2s
[159/500] train loss=0.016034, nmse(dB)=-13.9255 | val loss=0.016224, nmse(dB)=-13.7945 | 13.3s
[160/500] train loss=0.015972, nmse(dB)=-13.9404 | val loss=0.016274, nmse(dB)=-13.7959 | 13.1s
[161/500] train loss=0.016008, nmse(dB)=-13.9285 | val loss=0.016179, nmse(dB)=-13.8012 | 13.7s
[162/500] train loss=0.016006, nmse(dB)=-13.9346 | val loss=0.016225, nmse(dB)=-13.7722 | 13.3s
[163/500] train loss=0.016018, nmse(dB)=-13.9230 | val loss=0.016178, nmse(dB)=-13.8050 | 13.2s
[164/500] train loss=0.015992, nmse(dB)=-13.9366 | val loss=0.016280, nmse(dB)=-13.7937 | 13.1s
[165/500] train loss=0.015942, nmse(dB)=-13.9419 | val loss=0.016316, nmse(dB)=-13.7937 | 13.2s
[166/500] train loss=0.015937, nmse(dB)=-13.9371 | val loss=0.016278, nmse(dB)=-13.8038 | 13.2s
[167/500] train loss=0.016008, nmse(dB)=-13.9328 | val loss=0.016226, nmse(dB)=-13.8006 | 13.3s
[168/500] train loss=0.015958, nmse(dB)=-13.9454 | val loss=0.016203, nmse(dB)=-13.7996 | 13.4s
[169/500] train loss=0.015976, nmse(dB)=-13.9442 | val loss=0.016275, nmse(dB)=-13.7879 | 13.4s
[170/500] train loss=0.015953, nmse(dB)=-13.9416 | val loss=0.016175, nmse(dB)=-13.8045 | 13.3s
[171/500] train loss=0.016004, nmse(dB)=-13.9289 | val loss=0.016196, nmse(dB)=-13.8146 | 13.2s
[172/500] train loss=0.015974, nmse(dB)=-13.9318 | val loss=0.016328, nmse(dB)=-13.7793 | 13.1s
[173/500] train loss=0.015917, nmse(dB)=-13.9413 | val loss=0.016326, nmse(dB)=-13.8004 | 13.2s
[174/500] train loss=0.015905, nmse(dB)=-13.9417 | val loss=0.016365, nmse(dB)=-13.7849 | 13.7s
[175/500] train loss=0.015902, nmse(dB)=-13.9439 | val loss=0.016318, nmse(dB)=-13.7994 | 13.8s
[176/500] train loss=0.015889, nmse(dB)=-13.9569 | val loss=0.016344, nmse(dB)=-13.7872 | 13.4s
[177/500] train loss=0.015932, nmse(dB)=-13.9398 | val loss=0.016339, nmse(dB)=-13.7968 | 13.9s
[178/500] train loss=0.015927, nmse(dB)=-13.9519 | val loss=0.016324, nmse(dB)=-13.7965 | 13.4s
[179/500] train loss=0.015909, nmse(dB)=-13.9413 | val loss=0.016321, nmse(dB)=-13.8024 | 13.3s
[180/500] train loss=0.015935, nmse(dB)=-13.9417 | val loss=0.016327, nmse(dB)=-13.7862 | 13.6s
[181/500] train loss=0.015935, nmse(dB)=-13.9468 | val loss=0.016307, nmse(dB)=-13.8043 | 13.4s
[182/500] train loss=0.015909, nmse(dB)=-13.9557 | val loss=0.016354, nmse(dB)=-13.7966 | 13.5s
[183/500] train loss=0.015923, nmse(dB)=-13.9428 | val loss=0.016436, nmse(dB)=-13.7841 | 13.3s
[184/500] train loss=0.015896, nmse(dB)=-13.9509 | val loss=0.016391, nmse(dB)=-13.7936 | 13.3s
[185/500] train loss=0.015878, nmse(dB)=-13.9517 | val loss=0.016191, nmse(dB)=-13.7858 | 13.8s
[186/500] train loss=0.015975, nmse(dB)=-13.9468 | val loss=0.016183, nmse(dB)=-13.8021 | 13.6s
[187/500] train loss=0.015954, nmse(dB)=-13.9465 | val loss=0.016223, nmse(dB)=-13.7837 | 13.5s
[188/500] train loss=0.015962, nmse(dB)=-13.9416 | val loss=0.016155, nmse(dB)=-13.8096 | 13.4s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@188: val loss=0.016155, val nmse(dB)=-13.8096
[189/500] train loss=0.015979, nmse(dB)=-13.9378 | val loss=0.016171, nmse(dB)=-13.7950 | 13.4s
[190/500] train loss=0.016006, nmse(dB)=-13.9296 | val loss=0.016230, nmse(dB)=-13.7834 | 13.2s
[191/500] train loss=0.015956, nmse(dB)=-13.9394 | val loss=0.016168, nmse(dB)=-13.8087 | 13.3s
[192/500] train loss=0.016002, nmse(dB)=-13.9325 | val loss=0.016213, nmse(dB)=-13.7941 | 13.7s
[193/500] train loss=0.015968, nmse(dB)=-13.9408 | val loss=0.016170, nmse(dB)=-13.8038 | 13.8s
[194/500] train loss=0.015984, nmse(dB)=-13.9330 | val loss=0.016303, nmse(dB)=-13.7759 | 13.4s
[195/500] train loss=0.015940, nmse(dB)=-13.9413 | val loss=0.016343, nmse(dB)=-13.7839 | 13.2s
[196/500] train loss=0.015902, nmse(dB)=-13.9536 | val loss=0.016361, nmse(dB)=-13.7819 | 13.0s
[197/500] train loss=0.015879, nmse(dB)=-13.9431 | val loss=0.016436, nmse(dB)=-13.7843 | 13.7s
[198/500] train loss=0.015945, nmse(dB)=-13.9419 | val loss=0.016341, nmse(dB)=-13.8163 | 13.3s
[199/500] train loss=0.015922, nmse(dB)=-13.9431 | val loss=0.016359, nmse(dB)=-13.7995 | 13.5s
[200/500] train loss=0.015971, nmse(dB)=-13.9417 | val loss=0.016241, nmse(dB)=-13.8074 | 13.2s
[201/500] train loss=0.015912, nmse(dB)=-13.9500 | val loss=0.016265, nmse(dB)=-13.7995 | 13.3s
