=== lwm_fromScratch | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[176/200] train loss=0.002854 nmse=-19.7739dB | val loss=0.025995 nmse=-10.2736dB | 5.2s
[177/200] train loss=0.002837 nmse=-19.8005dB | val loss=0.026035 nmse=-10.2667dB | 4.3s
[178/200] train loss=0.002847 nmse=-19.7825dB | val loss=0.026034 nmse=-10.2668dB | 4.4s
[179/200] train loss=0.002843 nmse=-19.7909dB | val loss=0.026043 nmse=-10.2656dB | 4.7s
[180/200] train loss=0.002843 nmse=-19.7924dB | val loss=0.026036 nmse=-10.2665dB | 5.2s
[181/200] train loss=0.002842 nmse=-19.7940dB | val loss=0.026045 nmse=-10.2651dB | 5.1s
[182/200] train loss=0.002833 nmse=-19.8068dB | val loss=0.026036 nmse=-10.2665dB | 5.2s
[183/200] train loss=0.002834 nmse=-19.8056dB | val loss=0.026056 nmse=-10.2639dB | 5.6s
[184/200] train loss=0.002841 nmse=-19.7954dB | val loss=0.026035 nmse=-10.2667dB | 4.7s
[185/200] train loss=0.002834 nmse=-19.8050dB | val loss=0.026030 nmse=-10.2676dB | 5.3s
[186/200] train loss=0.002827 nmse=-19.8159dB | val loss=0.026025 nmse=-10.2685dB | 5.2s
[187/200] train loss=0.002834 nmse=-19.8043dB | val loss=0.026039 nmse=-10.2662dB | 4.9s
[188/200] train loss=0.002829 nmse=-19.8117dB | val loss=0.026055 nmse=-10.2634dB | 5.1s
[189/200] train loss=0.002829 nmse=-19.8142dB | val loss=0.026058 nmse=-10.2627dB | 5.0s
[190/200] train loss=0.002836 nmse=-19.8032dB | val loss=0.026049 nmse=-10.2646dB | 4.9s
[191/200] train loss=0.002836 nmse=-19.8006dB | val loss=0.026048 nmse=-10.2646dB | 5.3s
[192/200] train loss=0.002828 nmse=-19.8151dB | val loss=0.026030 nmse=-10.2677dB | 5.1s
[193/200] train loss=0.002834 nmse=-19.8054dB | val loss=0.026023 nmse=-10.2689dB | 5.4s
[194/200] train loss=0.002840 nmse=-19.7957dB | val loss=0.026036 nmse=-10.2667dB | 5.4s
[195/200] train loss=0.002826 nmse=-19.8147dB | val loss=0.026038 nmse=-10.2662dB | 5.3s
[196/200] train loss=0.002835 nmse=-19.8031dB | val loss=0.026035 nmse=-10.2668dB | 5.4s
[197/200] train loss=0.002826 nmse=-19.8158dB | val loss=0.026038 nmse=-10.2663dB | 4.9s
[198/200] train loss=0.002832 nmse=-19.8070dB | val loss=0.026036 nmse=-10.2666dB | 4.9s
[199/200] train loss=0.002823 nmse=-19.8197dB | val loss=0.026036 nmse=-10.2667dB | 5.3s
[200/200] train loss=0.002834 nmse=-19.8059dB | val loss=0.026036 nmse=-10.2667dB | 5.2s

=== Done === 0h 17m 19s | Best epoch 8: val loss=0.017214 nmse=-12.0100dB
